Temp,1,10,20,40,60,80,100,200,400,600,800,1000
20.0000,0.0169,0.1680,0.3302,0.6430,0.9434,1.2346,1.5166,2.8440,nan,nan,nan,nan
40.0000,0.9848,0.8340,0.6311,0.5240,0.6627,0.8118,0.9590,1.6500,2.8780,3.9930,5.0340,6.0190
60.0000,0.9955,0.9562,0.9169,0.8608,0.8498,0.8832,0.9432,1.3470,2.1580,2.9020,3.5980,4.2630
80.0000,0.9986,0.9776,0.9763,0.9655,0.9676,0.9842,1.0138,1.2570,1.8340,2.3890,2.9070,3.4040
100.0000,0.9998,0.9979,0.9976,1.0022,1.0133,1.0280,1.0528,1.2250,1.6590,2.0950,2.5120,2.9020
200.0000,1.0007,1.0066,1.0134,1.0275,1.0422,1.0575,1.0734,1.1630,1.3550,1.5550,1.7530,1.9360
300.0000,1.0005,1.0059,1.0117,1.0236,1.0357,1.0479,1.0603,1.1240,1.2530,1.3830,1.5100,1.6360
400.0000,1.0004,1.0048,1.0096,1.0192,1.0289,1.0386,1.0484,1.0980,1.1960,1.2930,1.3880,1.4810
500.0000,1.0004,1.0040,1.0080,1.0160,1.0240,1.0320,1.0400,1.0800,1.1590,1.2360,1.3110,1.3850
600.0000,1.0003,1.0034,1.0068,1.0136,1.0204,1.0272,1.0340,1.0680,1.1330,1.1970,1.2590,1.3200
800.0000,1.0002,1.0026,1.0052,1.0104,1.0156,1.0208,1.0259,1.0510,1.1000,1.1470,1.1930,1.2370
1000.0000,1.0002,1.0021,1.0042,1.0084,1.0126,1.0168,1.0209,1.0410,1.0800,1.1170,1.1530,1.1870
2000.0000,1.0009,1.0013,1.0023,1.0044,1.0065,1.0086,1.0107,1.0210,1.0400,1.0570,1.0730,1.0880
